street,name,lon,lat,religion,county,subcounty,type
address unknown,baptistery & confessions,36.820534,-1.287594,christian,nairobi city,starehe,religion
koinage street,holy family cathedral hall,36.820447,-1.286957,christian,nairobi city,starehe,religion
address unknown,bethel home of jehovah's witnesses,36.779968,-1.295474,christian,nairobi city,westlands,religion
address unknown,missionaries of the poor,36.949889,-1.25088,christian,nairobi city,njiru,religion
jogoo road,npc buruburu,36.881046,-1.295902,christian,nairobi city,makadara,religion
address unknown,ku seventh day church,36.930382,-1.185288,christian,nairobi city,kasarani,religion
address unknown,ku mosque,36.927903,-1.184787,muslim,nairobi city,kasarani,religion
address unknown,ku catholic curch,36.931166,-1.185298,christian,nairobi city,kasarani,religion
gathuru road,missionary sisters of the precious blood,36.738907,-1.282698,christian,nairobi city,dagoretti,religion
brookside drive,baba isher singh ji community centre,36.795691,-1.255493,sikh,nairobi city,westlands,religion
swamibapa road,shree swaminarayan sidhant sajivan mandal,36.820718,-1.263898,hindu,nairobi city,westlands,religion
address unknown,nairobi chapel parklands,36.822817,-1.256753,christian,nairobi city,westlands,religion
address unknown,p.c.e.a evergreen church,36.829095,-1.223469,christian,nairobi city,westlands,religion
ngong road,st. francis karen,36.720208,-1.315777,christian,nairobi city,langata,religion
karen road,dimesse sisters karen,36.715217,-1.334267,christian,nairobi city,langata,religion
address unknown,faith evangelistic ministry family church,36.709206,-1.327272,christian,nairobi city,langata,religion
address unknown,franciscan elizabethan sisters,36.704413,-1.305582,christian,nairobi city,langata,religion
address unknown,shree kutch satsang swaminarayan mandir - nairobi,36.798793,-1.330369,hindu,nairobi city,langata,religion
address unknown,faith international church,36.880425,-1.309194,christian,nairobi city,makadara,religion
seasons road,pcea kasarani chiiko church,36.903305,-1.215122,christian,nairobi city,kasarani,religion
suna road,our lady of guadalupe catholic church,36.779168,-1.301185,christian,nairobi city,kibra,religion
ngong road,congregation of our lady of the missions,36.780488,-1.299257,christian,nairobi city,westlands,religion
kindaruma road,free free pentecostal fellowship in kenya,36.784663,-1.297301,christian,nairobi city,westlands,religion
address unknown,sai baba mandir parklands,36.814377,-1.256347,hindu,nairobi city,westlands,religion
address unknown,hindu council of kenya,36.815811,-1.257641,hindu,nairobi city,westlands,religion
address unknown,shree ambaji temple,36.82618,-1.316087,hindu,nairobi city,langata,religion
address unknown,bhakti marga centre,36.812913,-1.263435,hindu,nairobi city,westlands,religion
waiyaki way,all africa conference of churches,36.787291,-1.260261,christian,nairobi city,westlands,religion
woodlands road,hurlingham mosque,36.798908,-1.292395,muslim,nairobi city,westlands,religion
shule road,aic jericho church,36.872102,-1.287311,christian,nairobi city,makadara,religion
ol doinyo sabuk road,ack st. james church,36.878964,-1.281895,christian,nairobi city,makadara,religion
address unknown,abc church sinai,36.880549,-1.308948,christian,nairobi city,makadara,religion
muthithi road,shree hanuman temple,36.809045,-1.267492,hindu,nairobi city,westlands,religion
ngong road,nairobi international lutheran church,36.747789,-1.303386,christian,nairobi city,dagoretti,religion
address unknown,gospel mission of christ church (heart of worship),36.802431,-1.316606,christian,nairobi city,langata,religion
kamiti road,ack st. andrews zimmerman,36.895195,-1.206164,christian,nairobi city,kasarani,religion
address unknown,international christian assemblies,36.771935,-1.312259,christian,nairobi city,kibra,religion
address unknown,st. barnabas anglican church,36.778761,-1.323157,christian,nairobi city,langata,religion
address unknown,church on the rock,36.777677,-1.317684,christian,nairobi city,langata,religion
address unknown,salvation army,36.773975,-1.311519,christian,nairobi city,kibra,religion
address unknown,world harvest center,36.794073,-1.318327,christian,nairobi city,kibra,religion
address unknown,vision of holy spirit,36.800206,-1.312915,christian,nairobi city,kibra,religion
address unknown,lindi mosque,36.791873,-1.314649,muslim,nairobi city,kibra,religion
address unknown,legio maria (african church mission),36.792809,-1.313717,christian,nairobi city,kibra,religion
address unknown,st christine community church,36.778741,-1.31664,christian,nairobi city,kibra,religion
address unknown,community church,36.77884,-1.317148,christian,nairobi city,kibra,religion
address unknown,kingdom hall of jehovahs witness,36.780391,-1.314902,christian,nairobi city,kibra,religion
address unknown,tumaini church,36.784802,-1.312764,christian,nairobi city,kibra,religion
address unknown,d.c mosque,36.785536,-1.308541,muslim,nairobi city,kibra,religion
address unknown,makina mosque,36.785799,-1.309797,muslim,nairobi city,kibra,religion
address unknown,holy mountain worship center,36.794615,-1.317096,christian,nairobi city,kibra,religion
address unknown,laini saba mosque,36.795132,-1.312984,muslim,nairobi city,kibra,religion
address unknown,adc church,36.789742,-1.310157,christian,nairobi city,kibra,religion
address unknown,nairobi dam pentecostal church,36.794215,-1.318751,christian,nairobi city,kibra,religion
address unknown,st veronica catholic church,36.794161,-1.314509,christian,nairobi city,kibra,religion
address unknown,anglican church,36.789527,-1.308104,christian,nairobi city,kibra,religion
address unknown,kambi muru mosque,36.790592,-1.311767,muslim,nairobi city,kibra,religion
address unknown,light evangelism,36.779586,-1.318616,christian,nairobi city,langata,religion
address unknown,olympic catholic church,36.780401,-1.314176,christian,nairobi city,kibra,religion
address unknown,berith life church,36.777286,-1.312732,christian,nairobi city,kibra,religion
