street,name,lon,lat,religion,county,subcounty,type
address unknown,peniel ministry church,36.843288,-1.264482,christian,nairobi city,mathare,religion
address unknown,pag church,36.866451,-1.260684,christian,nairobi city,mathare,religion
address unknown,redeemed gospel church,36.866005,-1.261172,christian,nairobi city,mathare,religion
address unknown,kag uthiru assembly,36.710167,-1.262462,christian,nairobi city,dagoretti,religion
address unknown,roho israel church of god,36.857149,-1.263076,christian,nairobi city,mathare,religion
address unknown,gospel tabernacle church,36.862772,-1.260198,christian,nairobi city,mathare,religion
address unknown,internationale evangelical church,36.865343,-1.262339,christian,nairobi city,mathare,religion
address unknown,african divine church org. vct,36.865379,-1.262125,christian,nairobi city,mathare,religion
address unknown,word temple church,36.864285,-1.259043,christian,nairobi city,mathare,religion
address unknown,christ co. fellowship church,36.865354,-1.262195,christian,nairobi city,mathare,religion
address unknown,friends church,36.865007,-1.26088,christian,nairobi city,mathare,religion
address unknown,agape church,36.863518,-1.262309,christian,nairobi city,mathare,religion
address unknown,aipca church,36.861843,-1.263355,christian,nairobi city,mathare,religion
address unknown,maranatha church,36.861535,-1.262611,christian,nairobi city,mathare,religion
address unknown,god's time miracle center,36.86218,-1.263133,christian,nairobi city,mathare,religion
address unknown,"a.d.c, church",36.862036,-1.261172,christian,nairobi city,mathare,religion
address unknown,faith assembly and nursery school,36.861559,-1.263103,christian,nairobi city,mathare,religion
address unknown,outreach fellowship church,36.863684,-1.262619,christian,nairobi city,mathare,religion
address unknown,aic zion church,36.862428,-1.262882,christian,nairobi city,mathare,religion
address unknown,mabatini praise worship church,36.863202,-1.258957,christian,nairobi city,mathare,religion
address unknown,n.y.s and mosque,36.865388,-1.252411,muslim,nairobi city,kasarani,religion
address unknown,"friends church makadara, jericho market",36.872509,-1.288219,christian,nairobi city,makadara,religion
address unknown,twelve brothers,36.854638,-1.263105,christian,nairobi city,mathare,religion
address unknown,neema worship centre,36.853568,-1.26331,christian,nairobi city,mathare,religion
address unknown,holy ghost church,36.858929,-1.262835,christian,nairobi city,mathare,religion
address unknown,victory celebration sanctuary,36.856883,-1.262548,christian,nairobi city,kasarani,religion
address unknown,megah church ministry.,36.843991,-1.265373,christian,nairobi city,mathare,religion
address unknown,mlango kubwa church,36.844677,-1.26397,christian,nairobi city,mathare,religion
address unknown,mathare church of nazarene,36.844668,-1.265592,christian,nairobi city,mathare,religion
address unknown,ack mathare church,36.844128,-1.264779,christian,nairobi city,mathare,religion
address unknown,apostolic great commission,36.845543,-1.264964,christian,nairobi city,mathare,religion
address unknown,redeemed gospel church.,36.84499,-1.266133,christian,nairobi city,mathare,religion
address unknown,pcea mathare valley,36.845413,-1.264463,christian,nairobi city,mathare,religion
address unknown,african church,36.8492,-1.262883,christian,nairobi city,mathare,religion
address unknown,st martin catholic church,36.872164,-1.254985,christian,nairobi city,mathare,religion
address unknown,aic trinity,36.869152,-1.259363,christian,nairobi city,mathare,religion
address unknown,joy jubilee centre,36.868635,-1.258289,christian,nairobi city,mathare,religion
address unknown,judah gospel church,36.875788,-1.257016,christian,nairobi city,mathare,religion
address unknown,soldiers of faith church,36.87629,-1.256716,christian,nairobi city,mathare,religion
address unknown,c.j.c.c church,36.875001,-1.257466,christian,nairobi city,mathare,religion
address unknown,huruma baptist church,36.874853,-1.257537,christian,nairobi city,mathare,religion
address unknown,pcea church and junior academy,36.865006,-1.256407,christian,nairobi city,kasarani,religion
address unknown,full gospel churches of kenya,36.877066,-1.249103,christian,nairobi city,kasarani,religion
address unknown,st mauras catholic church,36.86751,-1.25305,christian,nairobi city,kasarani,religion
address unknown,soul winning miracle land,36.874795,-1.250013,christian,nairobi city,kasarani,religion
address unknown,deliverence hope ministries,36.877006,-1.250283,christian,nairobi city,kasarani,religion
address unknown,word of truth,36.869286,-1.252533,christian,nairobi city,kasarani,religion
address unknown,salvation army,36.861958,-1.261812,christian,nairobi city,mathare,religion
address unknown,k.a.g huruma christ promotion centre,36.868398,-1.260517,christian,nairobi city,mathare,religion
address unknown,st stephen chapel,36.869616,-1.258244,christian,nairobi city,mathare,religion
address unknown,genesis immaculate church,36.870357,-1.258177,christian,nairobi city,mathare,religion
address unknown,zamzam madrassa centre,36.869559,-1.258119,muslim,nairobi city,mathare,religion
address unknown,grace world harvest church,36.869542,-1.258062,christian,nairobi city,mathare,religion
address unknown,st mathias mulumba church,36.873069,-1.255255,christian,nairobi city,mathare,religion
address unknown,apostolic church of christ,36.8733,-1.254426,christian,nairobi city,mathare,religion
address unknown,messiah gospel center,36.873301,-1.254354,christian,nairobi city,mathare,religion
address unknown,evangelical victory church,36.878326,-1.25337,christian,nairobi city,mathare,religion
address unknown,redeemed gospel church hall,36.86521,-1.260503,christian,nairobi city,mathare,religion
address unknown,kahawa baracks,36.921757,-1.197671,muslim,nairobi city,kasarani,religion
voi lane,a.i.p.c.a bahati,36.854381,-1.29098,christian,nairobi city,makadara,religion
address unknown,sri ram mandir,36.814316,-1.264248,hindu,nairobi city,westlands,religion
address unknown,ayyappa temple,36.814381,-1.264227,hindu,nairobi city,westlands,religion
address unknown,st.domnic catholic church,36.789115,-1.308566,christian,nairobi city,kibra,religion
address unknown,life in christ church,36.800085,-1.312837,christian,nairobi city,kibra,religion
address unknown,kamiti mosque,36.892586,-1.179068,muslim,nairobi city,kasarani,religion
outer ring road,"god's power church,ruaraka,kenya",36.874908,-1.248236,christian,nairobi city,kasarani,religion
address unknown,chieko sda church,36.922491,-1.235016,christian,nairobi city,kasarani,religion
address unknown,new vision pentecostal ministries,36.885713,-1.320298,christian,nairobi city,embakasi,religion
address unknown,p.c.e.a neema parish,36.877964,-1.32117,christian,nairobi city,embakasi,religion
address unknown,a.c.k church,36.886034,-1.322523,christian,nairobi city,embakasi,religion
address unknown,seventh day adventist / imara daima academy,36.885297,-1.321296,christian,nairobi city,embakasi,religion
address unknown,nabii powerful christian church,36.88084,-1.318057,christian,nairobi city,embakasi,religion
address unknown,bread of life church,36.88443,-1.316674,christian,nairobi city,embakasi,religion
address unknown,gethsemane ministry imara daima church,36.884475,-1.317857,christian,nairobi city,embakasi,religion
address unknown,gospel futhering church,36.883959,-1.317306,christian,nairobi city,embakasi,religion
address unknown,kwa njenga milimani church,36.884663,-1.316639,christian,nairobi city,embakasi,religion
address unknown,living gospel church,36.884493,-1.314014,christian,nairobi city,embakasi,religion
address unknown,overcomers church,36.883738,-1.315585,christian,nairobi city,embakasi,religion
address unknown,rejoice gospel christian church,36.884092,-1.314103,christian,nairobi city,embakasi,religion
address unknown,christian builders mission,36.886257,-1.314747,christian,nairobi city,embakasi,religion
address unknown,hossana prophetic and miracle church,36.885805,-1.318116,christian,nairobi city,embakasi,religion
address unknown,house of prayers for all people,36.886234,-1.31615,christian,nairobi city,embakasi,religion
address unknown,king of judah ministries,36.888333,-1.317528,christian,nairobi city,embakasi,religion
address unknown,oasis of grace church,36.886328,-1.314692,christian,nairobi city,embakasi,religion
address unknown,overcomers miracle church,36.885095,-1.318825,christian,nairobi city,embakasi,religion
address unknown,power delivarance of christ centre,36.885012,-1.319149,christian,nairobi city,embakasi,religion
address unknown,the praises of victory ministries,36.88812,-1.318983,christian,nairobi city,embakasi,religion
address unknown,living water minstry,36.889157,-1.322203,christian,nairobi city,embakasi,religion
address unknown,zion arc glory church,36.887367,-1.322017,christian,nairobi city,embakasi,religion
address unknown,maximum victory,36.887907,-1.321741,christian,nairobi city,embakasi,religion
address unknown,living gospel workers fellowship,36.887284,-1.322433,christian,nairobi city,embakasi,religion
address unknown,ymca chapel,36.813416,-1.279925,christian,nairobi city,westlands,religion
address unknown,ack diamond church,36.877627,-1.312839,christian,nairobi city,embakasi,religion
address unknown,cross of grace ministries,36.87565,-1.319043,christian,nairobi city,embakasi,religion
address unknown,deliverance church,36.874466,-1.316909,christian,nairobi city,embakasi,religion
address unknown,full inependent concregations church,36.874892,-1.315999,christian,nairobi city,embakasi,religion
address unknown,g.n.c.a. church lungalunga,36.868232,-1.311219,christian,nairobi city,makadara,religion
address unknown,god celebration church,36.861385,-1.310194,christian,nairobi city,makadara,religion
address unknown,huduma prophetic church,36.87452,-1.318081,christian,nairobi city,embakasi,religion
address unknown,living light church,36.87639,-1.31534,christian,nairobi city,embakasi,religion
address unknown,living vine christ ministries,36.87639,-1.313754,christian,nairobi city,embakasi,religion
address unknown,oasis church of god,36.87557,-1.316441,christian,nairobi city,embakasi,religion
address unknown,st. monicah catholic church,36.865504,-1.311653,christian,nairobi city,makadara,religion
address unknown,african inland church,36.876422,-1.317886,christian,nairobi city,embakasi,religion
address unknown,agape fellowship church,36.87439,-1.318317,christian,nairobi city,embakasi,religion
address unknown,huduma prophetic church,36.874487,-1.318054,christian,nairobi city,embakasi,religion
address unknown,baptist church,36.870753,-1.311604,christian,nairobi city,makadara,religion
address unknown,pcea neema church,36.872832,-1.310925,christian,nairobi city,makadara,religion
address unknown,a.i.c church,36.875713,-1.310112,christian,nairobi city,makadara,religion
address unknown,living glory ministry,36.86958,-1.310972,christian,nairobi city,makadara,religion
address unknown,kwa reuben baptist church,36.866205,-1.316004,christian,nairobi city,embakasi,religion
address unknown,kileleshwa covenant community church (k3c),36.789271,-1.278063,christian,nairobi city,westlands,religion
address unknown,mariakani christian centre,36.83499,-1.311144,christian,nairobi city,starehe,religion
mombasa road,international christian centre,36.827793,-1.309816,christian,nairobi city,langata,religion
address unknown,hollyness worship centre,36.849249,-1.315113,christian,nairobi city,starehe,religion
address unknown,hazina sda church,36.848906,-1.313805,christian,nairobi city,starehe,religion
address unknown,pefa church and school,36.845486,-1.31359,christian,nairobi city,starehe,religion
address unknown,calvary christian centre,36.840508,-1.306607,christian,nairobi city,starehe,religion
address unknown,aic church,36.850448,-1.312838,christian,nairobi city,starehe,religion
address unknown,christ ambassodar church,36.841912,-1.311494,christian,nairobi city,starehe,religion
address unknown,mukuru africa evangelicul prospytorian church,36.84279,-1.310943,christian,nairobi city,starehe,religion
address unknown,pcea,36.850115,-1.312621,christian,nairobi city,starehe,religion
address unknown,st veronica ack church,36.842341,-1.311881,christian,nairobi city,starehe,religion
address unknown,ack church,36.83663,-1.307768,christian,nairobi city,starehe,religion
address unknown,sda church,36.836221,-1.307268,christian,nairobi city,starehe,religion
address unknown,pcea,36.845823,-1.31229,christian,nairobi city,starehe,religion
address unknown,sda church,36.840253,-1.306906,christian,nairobi city,starehe,religion
address unknown,khoja mosque,36.821627,-1.281478,muslim,nairobi city,starehe,religion
address unknown,st catherine,36.822443,-1.323825,christian,nairobi city,langata,religion
address unknown,new apostolic church,36.82822,-1.321991,christian,nairobi city,langata,religion
address unknown,our lady queen of peace catholic church,36.834068,-1.311206,christian,nairobi city,starehe,religion
address unknown,agape gospel church,36.817343,-1.308116,christian,nairobi city,langata,religion
address unknown,community presbyterian church - madaraka,36.817629,-1.309541,christian,nairobi city,langata,religion
address unknown,christian terbanacle centre,36.835476,-1.310552,christian,nairobi city,starehe,religion
address unknown,our lady of angels novitiate,36.700694,-1.316338,christian,nairobi city,langata,religion
address unknown,kingdom vision,36.779713,-1.315056,christian,nairobi city,kibra,religion
address unknown,church (pefa),36.891718,-1.248686,christian,nairobi city,kasarani,religion
address unknown,k.a.g church,36.892217,-1.250549,christian,nairobi city,kasarani,religion
address unknown,kristoe church of evangelistic,36.893155,-1.247591,christian,nairobi city,kasarani,religion
address unknown,legio maria church,36.89049,-1.250285,christian,nairobi city,kasarani,religion
address unknown,mercy seat of god fellowship center/school,36.894723,-1.246239,christian,nairobi city,kasarani,religion
address unknown,nabii christian church of ea,36.895124,-1.245702,christian,nairobi city,kasarani,religion
address unknown,ngomomngo sda church,36.894891,-1.243852,christian,nairobi city,kasarani,religion
address unknown,st johns catholic church,36.891943,-1.248501,christian,nairobi city,kasarani,religion
address unknown,tumaini church,36.891959,-1.251257,christian,nairobi city,kasarani,religion
address unknown,tumaini church,36.888257,-1.250432,christian,nairobi city,kasarani,religion
address unknown,damascus assemblys church,36.887663,-1.252686,christian,nairobi city,kasarani,religion
address unknown,overcomers lifeseekers church,36.887925,-1.252609,christian,nairobi city,kasarani,religion
address unknown,redeemed gospel church,36.887629,-1.249693,christian,nairobi city,kasarani,religion
address unknown,rehema church/day care,36.888787,-1.251873,christian,nairobi city,kasarani,religion
address unknown,calvery worship center,36.891219,-1.249803,christian,nairobi city,kasarani,religion
address unknown,vision people in mission church,36.890018,-1.250226,christian,nairobi city,kasarani,religion
address unknown,kariobangi dioces church,36.891323,-1.247502,christian,nairobi city,kasarani,religion
address unknown,matendo ministry church,36.789874,-1.308607,christian,nairobi city,kibra,religion
address unknown,african divine church,36.78745,-1.309263,christian,nairobi city,kibra,religion
address unknown,anglican catolic church,36.892117,-1.251997,christian,nairobi city,kasarani,religion
address unknown,church of the lord and faith ministry,36.891104,-1.247357,christian,nairobi city,kasarani,religion
address unknown,diet of the word church,36.774143,-1.310668,christian,nairobi city,kibra,religion
address unknown,outreach community church,36.775524,-1.312689,christian,nairobi city,kibra,religion
address unknown,grogan b holy church,36.888773,-1.24811,christian,nairobi city,kasarani,religion
city chicken road,kenhut sda church,36.917672,-1.221264,christian,nairobi city,kasarani,religion
address unknown,little sisters of the poor,36.916154,-1.225271,christian,nairobi city,kasarani,religion
address unknown,chrisco church,36.776858,-1.306355,christian,nairobi city,kibra,religion
address unknown,our lady of guadalupe parish,36.779533,-1.301568,christian,nairobi city,kibra,religion
address unknown,winners chapel int-nairobi,36.780249,-1.303429,christian,nairobi city,kibra,religion
joseph kang'ethe,citam woodley church,36.774277,-1.302998,christian,nairobi city,kibra,religion
southern bypass,nairobi langata assembly hall of jehovah's witnesses,36.792823,-1.322636,christian,nairobi city,langata,religion
address unknown,springs of life lutheran church,36.779733,-1.311354,christian,nairobi city,kibra,religion
address unknown,masjidnuur_lungalunga,36.870732,-1.311217,muslim,nairobi city,makadara,religion
address unknown,st jude catholic church (kwa reuben),36.869721,-1.314298,christian,nairobi city,embakasi,religion
address unknown,apostolic faith church (kwa reuben),36.869364,-1.313915,christian,nairobi city,embakasi,religion
address unknown,jesus new life church,36.860505,-1.31268,christian,nairobi city,makadara,religion
address unknown,royal christain ministries lungalunga,36.87279,-1.311436,christian,nairobi city,makadara,religion
address unknown,jesus sanctuary church and primary school,36.848074,-1.313025,christian,nairobi city,starehe,religion
address unknown,oasis church and school,36.848932,-1.312886,christian,nairobi city,starehe,religion
address unknown,salvation army church & primary school,36.848414,-1.312631,christian,nairobi city,starehe,religion
address unknown,a.d.c church,36.845238,-1.312248,christian,nairobi city,starehe,religion
address unknown,imani church,36.844227,-1.311119,christian,nairobi city,starehe,religion
address unknown,marrow gate pentecostal church,36.844217,-1.311126,christian,nairobi city,starehe,religion
address unknown,our lady of peace church,36.833349,-1.311568,christian,nairobi city,starehe,religion
address unknown,pentecostal church,36.843666,-1.311318,christian,nairobi city,starehe,religion
address unknown,calvary church,36.840875,-1.30684,christian,nairobi city,starehe,religion
address unknown,christ ambassadors church,36.842407,-1.311199,christian,nairobi city,starehe,religion
address unknown,full gospel churches of east africa,36.842716,-1.311009,christian,nairobi city,starehe,religion
address unknown,kenya african church,36.840081,-1.306936,christian,nairobi city,starehe,religion
address unknown,legion maria,36.84064,-1.30664,christian,nairobi city,starehe,religion
address unknown,mukuru africa evangelical el-shadai church/ school,36.842827,-1.310942,christian,nairobi city,starehe,religion
address unknown,seventh day adventist church,36.841286,-1.307621,christian,nairobi city,starehe,religion
address unknown,st.judes catholic church,36.804516,-1.315551,christian,nairobi city,langata,religion
address unknown,kibera p.a.g gatwekera,36.783895,-1.314221,christian,nairobi city,kibra,religion
address unknown,st magaret catholic church,36.848534,-1.317022,christian,nairobi city,starehe,religion
address unknown,jcc church,36.847148,-1.31815,christian,nairobi city,starehe,religion
address unknown,syed abdullah shah,36.821353,-1.283178,muslim,nairobi city,starehe,religion
address unknown,ayie singruok mochuere church,36.885973,-1.246773,christian,nairobi city,kasarani,religion
address unknown,calvary church of god,36.886593,-1.246835,christian,nairobi city,kasarani,religion
address unknown,christian mission fellowship church,36.888135,-1.243577,christian,nairobi city,kasarani,religion
address unknown,faith church of christ,36.889453,-1.243346,christian,nairobi city,kasarani,religion
address unknown,rock greeck victory church,36.88934,-1.246039,christian,nairobi city,kasarani,religion
address unknown,aflame of joy ministries and baby care,36.883178,-1.248661,christian,nairobi city,kasarani,religion
address unknown,baptist church,36.884923,-1.248622,christian,nairobi city,kasarani,religion
address unknown,calvary church,36.886144,-1.246837,christian,nairobi city,kasarani,religion
address unknown,chistian revival church and school,36.883075,-1.247574,christian,nairobi city,kasarani,religion
address unknown,full gospel church,36.884634,-1.249046,christian,nairobi city,kasarani,religion
address unknown,god last appeal,36.884031,-1.24926,christian,nairobi city,kasarani,religion
address unknown,hosana gospel outreach church,36.885259,-1.24822,christian,nairobi city,kasarani,religion
address unknown,house of grace,36.885961,-1.247733,christian,nairobi city,kasarani,religion
address unknown,israel church,36.88342,-1.248826,christian,nairobi city,kasarani,religion
address unknown,japolo church,36.883771,-1.247644,christian,nairobi city,kasarani,religion
address unknown,japolo church,36.884218,-1.248788,christian,nairobi city,kasarani,religion
address unknown,kariobangi soko church,36.884388,-1.247966,christian,nairobi city,kasarani,religion
address unknown,legio maria,36.882633,-1.248337,christian,nairobi city,kasarani,religion
address unknown,redeemed gospel church,36.887394,-1.24685,christian,nairobi city,kasarani,religion
address unknown,redeemed gospel church,36.882812,-1.248186,christian,nairobi city,kasarani,religion
address unknown,roho church,36.884357,-1.248846,christian,nairobi city,kasarani,religion
address unknown,sayuni pentecostal church,36.883311,-1.249226,christian,nairobi city,kasarani,religion
address unknown,smata wisdom church,36.887157,-1.246823,christian,nairobi city,kasarani,religion
address unknown,abundant life worship centre,36.884142,-1.242385,christian,nairobi city,kasarani,religion
address unknown,daarusalam mosque and madrasa,36.88547,-1.240841,muslim,nairobi city,kasarani,religion
address unknown,peniel revival ministries,36.884061,-1.241835,christian,nairobi city,kasarani,religion
address unknown,sacred heart catholic parish,36.88444,-1.24372,christian,nairobi city,kasarani,religion
address unknown,shalom evangelist ministry,36.883611,-1.241383,christian,nairobi city,kasarani,religion
address unknown,the last word ministry,36.883402,-1.241451,christian,nairobi city,kasarani,religion
address unknown,the pillar of light church,36.884123,-1.241435,christian,nairobi city,kasarani,religion
address unknown,true vine church,36.884087,-1.242633,christian,nairobi city,kasarani,religion
address unknown,ack church,36.896019,-1.242586,christian,nairobi city,kasarani,religion
address unknown,arising christian ministry,36.897692,-1.237785,christian,nairobi city,kasarani,religion
address unknown,baptism chapel,36.89388,-1.241674,christian,nairobi city,kasarani,religion
address unknown,bethsaida church,36.897999,-1.240254,christian,nairobi city,kasarani,religion
address unknown,christ the king church,36.898927,-1.241143,christian,nairobi city,kasarani,religion
address unknown,deliverance church ruaraka,36.893872,-1.241408,christian,nairobi city,kasarani,religion
address unknown,evangelism church,36.895024,-1.238912,christian,nairobi city,kasarani,religion
address unknown,friends church ruaraka,36.896684,-1.238282,christian,nairobi city,kasarani,religion
address unknown,full gospel churches of kenya,36.900691,-1.238852,christian,nairobi city,kasarani,religion
address unknown,international ministry church,36.89691,-1.242259,christian,nairobi city,kasarani,religion
address unknown,jesus wept ministry,36.893242,-1.243828,christian,nairobi city,kasarani,religion
address unknown,living mountain church,36.8937,-1.242973,christian,nairobi city,kasarani,religion
address unknown,pcea kasarani chodong church,36.891347,-1.24042,christian,nairobi city,kasarani,religion
address unknown,redeemed evangelistic fellowship church,36.897847,-1.240723,christian,nairobi city,kasarani,religion
address unknown,redeemed gospel church,36.900222,-1.239168,christian,nairobi city,kasarani,religion
address unknown,shepherd apostolic ministry,36.898644,-1.236912,christian,nairobi city,kasarani,religion
address unknown,true value church,36.892467,-1.243863,christian,nairobi city,kasarani,religion
address unknown,soul harvester church,36.892569,-1.24415,christian,nairobi city,kasarani,religion
address unknown,truth terbancle centre,36.895834,-1.238536,christian,nairobi city,kasarani,religion
address unknown,gomongo sda church,36.893577,-1.24033,christian,nairobi city,kasarani,religion
address unknown,salvation army church,36.893202,-1.239656,christian,nairobi city,kasarani,religion
address unknown,sanctuary of truth centre,36.89424,-1.240298,christian,nairobi city,kasarani,religion
address unknown,deliverance church,36.878348,-1.24855,christian,nairobi city,kasarani,religion
address unknown,kag babandogo church,36.880933,-1.247539,christian,nairobi city,kasarani,religion
address unknown,land marks baptist church,36.878559,-1.248072,christian,nairobi city,kasarani,religion
address unknown,lord harvest centre,36.879865,-1.247148,christian,nairobi city,kasarani,religion
address unknown,riverside mosque,36.879936,-1.248832,muslim,nairobi city,kasarani,religion
address unknown,united pentecostal church,36.880758,-1.247097,christian,nairobi city,kasarani,religion
address unknown,vrc riverside church,36.880694,-1.247585,christian,nairobi city,kasarani,religion
address unknown,baptist church,36.88471,-1.248745,christian,nairobi city,kasarani,religion
address unknown,st. rafaels,36.724766,-1.255791,christian,nairobi city,westlands,religion
kapenguria road,lower kabete sda church,36.725002,-1.255513,christian,nairobi city,westlands,religion
st. daniel comboni road,st vincent palotti catholic church,36.754637,-1.300614,christian,nairobi city,dagoretti,religion
address unknown,grace church,36.893369,-1.295263,christian,nairobi city,embakasi,religion
limuru road,karura community chapel,36.798487,-1.215088,christian,nairobi city,westlands,religion
address unknown,st francis,36.905018,-1.186826,christian,nairobi city,kasarani,religion
moi drive,umoja p.a.g church,36.893476,-1.284981,christian,nairobi city,embakasi,religion
address unknown,mashimoni friends church,36.79158,-1.309594,christian,nairobi city,kibra,religion
address unknown,changing times centre,36.792667,-1.312653,christian,nairobi city,kibra,religion
address unknown,lifespring,36.897597,-1.321662,christian,nairobi city,embakasi,religion
ngong view road,karen community church,36.687998,-1.33046,christian,nairobi city,langata,religion
address unknown,ack st prisca church,36.890611,-1.24982,christian,nairobi city,kasarani,religion
address unknown,adc upendo assemblies,36.889287,-1.253809,christian,nairobi city,kasarani,religion
address unknown,aipca church,36.884908,-1.259116,christian,nairobi city,embakasi,religion
address unknown,full gospel church of kenya,36.889427,-1.253092,christian,nairobi city,kasarani,religion
address unknown,hhi israel church,36.890053,-1.248216,christian,nairobi city,kasarani,religion
address unknown,pag assemblies of god,36.891441,-1.248336,christian,nairobi city,kasarani,religion
address unknown,pcea,36.889619,-1.249033,christian,nairobi city,kasarani,religion
address unknown,pefa kariobangi church,36.891535,-1.248781,christian,nairobi city,kasarani,religion
address unknown,christ divine church,36.889407,-1.254142,christian,nairobi city,kasarani,religion
address unknown,christ ministry church,36.884046,-1.259741,christian,nairobi city,kasarani,religion
address unknown,faith of hope centre,36.888045,-1.250882,christian,nairobi city,embakasi,religion
address unknown,glory church,36.891227,-1.249185,christian,nairobi city,kasarani,religion
address unknown,grace given and transformation center,36.89246,-1.249978,christian,nairobi city,kasarani,religion
address unknown,highridge baptist church,36.892497,-1.250934,christian,nairobi city,kasarani,religion
address unknown,holy trinity church,36.890132,-1.248151,christian,nairobi city,kasarani,religion
address unknown,israel church of africa,36.891962,-1.252217,christian,nairobi city,kasarani,religion
address unknown,jesus upliftance ministry,36.888863,-1.2508,christian,nairobi city,kasarani,religion
address unknown,kenya foundation of the prophet,36.887674,-1.251747,christian,nairobi city,kasarani,religion
address unknown,legio maria church,36.890756,-1.250342,christian,nairobi city,kasarani,religion
address unknown,life of hope foundation centre,36.889499,-1.252904,christian,nairobi city,kasarani,religion
address unknown,makao church,36.886111,-1.256712,christian,nairobi city,kasarani,religion
address unknown,masanda holy church,36.892176,-1.24979,christian,nairobi city,kasarani,religion
address unknown,pentecostal assembly of god,36.887123,-1.255061,christian,nairobi city,embakasi,religion
address unknown,roho msalaba church,36.890782,-1.24905,christian,nairobi city,kasarani,religion
address unknown,seventh day adventist,36.89162,-1.250853,christian,nairobi city,kasarani,religion
address unknown,upendo ministry fellowship,36.891737,-1.251674,christian,nairobi city,kasarani,religion
address unknown,vision and hope revival church,36.885608,-1.255596,christian,nairobi city,kasarani,religion
address unknown,wakonino church,36.8886,-1.253479,christian,nairobi city,kasarani,religion
address unknown,st clares catholic church,36.887333,-1.2518,christian,nairobi city,kasarani,religion
address unknown,abc church south b region,36.838477,-1.308965,christian,nairobi city,kasarani,religion
address unknown,new israel true gospel church,36.84515,-1.312386,christian,nairobi city,kasarani,religion
address unknown,builder chapel ministry,36.836468,-1.308384,christian,nairobi city,kasarani,religion
address unknown,mountain of the lord,36.837036,-1.309284,christian,nairobi city,starehe,religion
address unknown,nairobi west church,36.836642,-1.309317,christian,nairobi city,starehe,religion
address unknown,sda church,36.836513,-1.308882,christian,nairobi city,starehe,religion
address unknown,saint charles lwanga catholic church,36.837013,-1.308378,christian,nairobi city,starehe,religion
address unknown,saint pauls aipca church,36.83712,-1.30933,christian,nairobi city,starehe,religion
address unknown,gethsemane worship centre,36.837918,-1.307887,christian,nairobi city,starehe,religion
address unknown,st.perpetual christian community,36.84264,-1.310826,christian,nairobi city,starehe,religion
address unknown,four square church,36.839313,-1.308143,christian,nairobi city,starehe,religion
address unknown,st. agatha christian community,36.840852,-1.310268,christian,nairobi city,starehe,religion
address unknown,full gospel church,36.842559,-1.311144,christian,nairobi city,starehe,religion
address unknown,healing and hope church,36.839178,-1.307504,christian,nairobi city,starehe,religion
address unknown,all nations pefa south b,36.84442,-1.312592,christian,nairobi city,starehe,religion
address unknown,south b friends church(quakers),36.845916,-1.313388,christian,nairobi city,starehe,religion
address unknown,bible baptist,36.840517,-1.30918,christian,nairobi city,starehe,religion
address unknown,christ alive ministry,36.840578,-1.309031,christian,nairobi city,starehe,religion
address unknown,church of joy,36.840678,-1.308688,christian,nairobi city,starehe,religion
address unknown,harvest christian church international,36.840373,-1.309237,christian,nairobi city,starehe,religion
address unknown,kenya african church of holy spirit,36.840929,-1.306869,christian,nairobi city,starehe,religion
address unknown,mariakani pag,36.840746,-1.308477,christian,nairobi city,starehe,religion
address unknown,african evalingelical church,36.842727,-1.311042,christian,nairobi city,starehe,religion
address unknown,a.m.o.h.gm church,36.840781,-1.307081,christian,nairobi city,starehe,religion
address unknown,adc atmo church,36.840888,-1.306949,christian,nairobi city,starehe,religion
address unknown,calvary christian centre,36.84071,-1.306747,christian,nairobi city,starehe,religion
address unknown,world new dawn adc church,36.840344,-1.306839,christian,nairobi city,starehe,religion
address unknown,kenya african church of the holy spirit,36.841018,-1.306859,christian,nairobi city,starehe,religion
address unknown,wordwide gospel church,36.838455,-1.309027,christian,nairobi city,starehe,religion
address unknown,holy seed church,36.841275,-1.307143,christian,nairobi city,starehe,religion
address unknown,seventhday adventist church,36.848892,-1.3137,christian,nairobi city,starehe,religion
address unknown,st austins parish,36.778267,-1.264688,christian,nairobi city,starehe,religion
address unknown,pneuma ministries international,36.777463,-1.296863,christian,nairobi city,starehe,religion
address unknown,ack st monica utawala,36.97018,-1.282918,christian,nairobi city,starehe,religion
address unknown,aic plainsview,36.842586,-1.316701,christian,nairobi city,westlands,religion
ndemi road,"deliverance church, ruai",36.992542,-1.270427,christian,nairobi city,westlands,religion
utawala road,al-anwaar mosque,36.739354,-1.33869,christian,nairobi city,njiru,religion
aoko lane,memon mosque,36.824368,-1.323523,christian,nairobi city,starehe,religion
ruai,upendo sda church,36.777917,-1.317791,christian,nairobi city,njiru,religion
langata road,israel church of africa,36.888888,-1.251268,muslim,nairobi city,langata,religion
address unknown,new shiv temple,36.809643,-1.255423,muslim,nairobi city,langata,religion
address unknown,st. thomas catholic shrine,36.756586,-1.341986,christian,nairobi city,langata,religion
address unknown,st. lukes methodist church,36.747885,-1.350244,christian,nairobi city,kasarani,religion
address unknown,al- maida mosque,36.784664,-1.308407,hindu,nairobi city,westlands,religion
langata road,"kingdom hall of jehovah's witnesses, spring valley",36.789904,-1.24924,christian,nairobi city,langata,religion
address unknown,ridgeways baptist church,36.842048,-1.221959,christian,nairobi city,langata,religion
