street,institution,lon,lat,amenity,county,subcounty,type
Unknown,East African School of Aviation,36.9033806,-1.3122546,college,Nairobi City,embakasi,institution
Unknown,Chaminade Training Center (Ctc),36.8816003,-1.3137619,college,Nairobi City,embakasi,institution
Unknown,Chaminade Training Center (Ctc),36.8816003,-1.3137619,college,Nairobi City,embakasi,institution
Unknown,Felmax Hair Salon & College,36.8855794,-1.3145878,college,Nairobi City,embakasi,institution
Unknown,Felmax Hair Salon & College,36.8855794,-1.3145878,college,Nairobi City,embakasi,institution
Lumumba Drive,Pan Africa Christian University,36.8845394,-1.2158668,university,Nairobi City,kasarani,institution
University Way,University of Nairobi - Main Campus,36.816107,-1.2797398,university,Nairobi City,starehe,institution
Unknown,JKUAT Westlands Campus,36.7589734,-1.2659756,university,Nairobi City,westlands,institution
Unknown,St Kizito vocational training,36.7812851,-1.3178857,college,Nairobi City,langata,institution
Unknown,St Kizito vocational training,36.7812851,-1.3178857,college,Nairobi City,langata,institution
Unknown,Killer Advanced Institute,36.7729478,-1.3103537,college,Nairobi City,kibra,institution
Unknown,Kibera Christian Hope Centre and Computer College,36.7739846,-1.3105582,college,Nairobi City,kibra,institution
Unknown,Bethany christian college,36.8666924,-1.2544009,college,Nairobi City,kasarani,institution
Unknown,Seniors Driving School,36.8741541,-1.2504619,college,Nairobi City,kasarani,institution
Unknown,Nomiya Bible Center,36.8766243,-1.2493674,college,Nairobi City,kasarani,institution
Unknown,Seniors Driving School,36.8783211,-1.2553464,college,Nairobi City,mathare,institution
Unknown,Kenya Methodist University,36.8156884,-1.2818769,university,Nairobi City,starehe,institution
Unknown,National Industrial Training Authority,36.831776,-1.2971774,college,Nairobi City,starehe,institution
Commercial Street,KIHBT Mechanical Engineering School,36.8335251,-1.2961078,college,Nairobi City,starehe,institution
Unknown,The Riara Group of Schools - Riara Springs campus,36.8764635,-1.321657,college,Nairobi City,embakasi,institution
Unknown,The Riara Group of Schools - Riara Springs campus,36.8764635,-1.321657,college,Nairobi City,embakasi,institution
Unknown,U.O.N. College of Architecture and Engineering,36.8175897,-1.2785611,college,Nairobi City,starehe,institution
Muhuyu Road,Utawala Technical Training Institute,36.9668623,-1.2728968,college,Nairobi City,njiru,institution
Mtito Andei Road,International Leadership University,36.7958927,-1.2912538,college,Nairobi City,westlands,institution
Unknown,University of Nairobi- College of Agriculture & veterinary Sciences,36.7311479,-1.253064,university,Nairobi City,westlands,institution
Unknown,Kenya Medical Training College- Mathari Campus,36.8486367,-1.2605761,college,Nairobi City,mathare,institution
Unknown,Joliz Computer School,36.88862,-1.3221599,college,Nairobi City,embakasi,institution
Unknown,Joliz Computer School,36.88862,-1.3221599,college,Nairobi City,embakasi,institution
Unknown,World Link Computer College,36.8900352,-1.3236308,college,Nairobi City,embakasi,institution
Unknown,World Link Computer College,36.8900352,-1.3236308,college,Nairobi City,embakasi,institution
Unknown,Zetech College,36.8189488,-1.2801664,college,Nairobi City,starehe,institution
Unknown,Docklembe computer training,36.8737724,-1.3170674,college,Nairobi City,embakasi,institution
Unknown,Docklembe computer training,36.8737724,-1.3170674,college,Nairobi City,embakasi,institution
Unknown,Futuretech computer institute,36.8738535,-1.3100837,college,Nairobi City,makadara,institution
Unknown,Kianda Vission Computer Training College,36.774703,-1.31136,college,Nairobi City,kibra,institution
Waiyaki Way,Institute of Advanced Technology Symphony Place,36.8006748,-1.2639555,college,Nairobi City,westlands,institution
Thika Road,Maya Tech,36.873067,-1.2331736,college,Nairobi City,kasarani,institution
Unknown,MATHARE POLYTECHNIC,36.8638621,-1.261189,college,Nairobi City,mathare,institution
Unknown,Silver Bridge,36.8831152,-1.2466148,college,Nairobi City,kasarani,institution
Unknown,ACK computer college,36.8958871,-1.2419454,college,Nairobi City,kasarani,institution
Unknown,Abbey computer college,36.8939386,-1.2416283,college,Nairobi City,kasarani,institution
Unknown,Kenya Red Cross Training College,36.8337317,-1.3239577,college,Nairobi City,langata,institution
Unknown,Kenya Red Cross Training College,36.8337317,-1.3239577,college,Nairobi City,langata,institution
Unknown,U-Block,36.8256164,-1.2916903,university,Nairobi City,starehe,institution
Unknown,Defence Staff College,36.6923945,-1.3196929,college,Nairobi City,langata,institution
Unknown,Defence Staff College,36.6923945,-1.3196929,college,Nairobi City,langata,institution
Unknown,National Defence College,36.7003133,-1.3029746,college,Nairobi City,langata,institution
Unknown,National Defence College,36.7003133,-1.3029746,college,Nairobi City,langata,institution
Thika Road,National Youth Service Headquarters,36.8550443,-1.2560563,college,Nairobi City,kasarani,institution
Manga Close,African Population and Health Research Centre - APHRC Campus,36.7614713,-1.2284888,college,Nairobi City,westlands,institution
Unknown,Kibondeni College,36.7686679,-1.2660979,college,Nairobi City,westlands,institution
Unknown,Lorento College Msongari,36.7690463,-1.2735657,college,Nairobi City,westlands,institution
