street,company_name,lon,lat,landuse,county,subcounty,type
unknown,nairobi bottlers,36.9009403,-1.2682182,industrial,nairobi city,njiru,industry
kangundo road,unknown industry,36.9013672,-1.2597735,industrial,nairobi city,njiru,industry
mombasa road,unknown industry,36.9445767,-1.2711544,industrial,nairobi city,starehe,industry
enterprise road,zoa taka & green leaf services,36.8737498,-1.3185549,industrial,nairobi city,embakasi,industry
enterprise road,unknown industry,36.9758986,-1.2309142,industrial,nairobi city,embakasi,industry
kangundo road,unknown industry,36.8935456,-1.3291836,industrial,nairobi city,njiru,industry
kangundo road,unknown industry,36.9045019,-1.3227037,industrial,nairobi city,njiru,industry
kangundo road,unknown industry,36.9158341,-1.3163111,industrial,nairobi city,njiru,industry
old mombosa road,unknown industry,36.9113535,-1.3677565,industrial,nairobi city,langata,industry
old mombosa road,unknown industry,36.8507634,-1.325405,industrial,nairobi city,langata,industry
kasarani mwiki road,unknown industry,36.8579802,-1.3262433,industrial,nairobi city,kasarani,industry
kasarani mwiki road,unknown industry,36.8594769,-1.326553,industrial,nairobi city,kasarani,industry
clay city masournets,bamburi cement,36.9598173,-1.4346324,industrial,nairobi city,kasarani,industry
mombasa road,unknown industry,37.0035484,-1.2401365,industrial,nairobi city,embakasi,industry
mombasa road,unknown industry,36.9882701,-1.2417084,industrial,nairobi city,embakasi,industry
unknown,alpha business park,36.9906584,-1.2405789,industrial,nairobi city,westlands,industry
kangundo road,kenya pipeline company ltd.- nairobi terminal,36.8736411,-1.3034208,industrial,nairobi city,njiru,industry
unknown,national cereals & produce board (nairobi silo),36.8865887,-1.3049977,industrial,nairobi city,njiru,industry
unknown,glaxo smithkline,36.858031,-1.3101056,industrial,nairobi city,njiru,industry
unknown,unknown industry,36.911112,-1.188048,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.9057757,-1.3663225,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8255718,-1.3270544,industrial,nairobi city,kasarani,industry
unknown,unknown industry,36.8307477,-1.3266153,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8307772,-1.3267722,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8308094,-1.3269223,industrial,nairobi city,embakasi,industry
unknown,unknown industry,36.8308289,-1.3270699,industrial,nairobi city,embakasi,industry
unknown,industries,36.8729355,-1.3202685,industrial,nairobi city,makadara,industry
unknown,dakawuo transporters,36.8960352,-1.3311271,industrial,nairobi city,starehe,industry
unknown,acc - accurate steel mills,36.8730871,-1.3167362,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.9090628,-1.3550652,industrial,nairobi city,starehe,industry
unknown,unknown industry,36.9097652,-1.2371767,industrial,nairobi city,kamukunji,industry
unknown,kbc radio transmisison site,36.7507516,-1.3564626,industrial,nairobi city,njiru,industry
unknown,unknown industry,36.7703154,-1.2830033,industrial,nairobi city,kasarani,industry
unknown,unknown industry,36.8840172,-1.3018151,industrial,nairobi city,kasarani,industry
unknown,unknown industry,36.7283477,-1.2611265,industrial,nairobi city,makadara,industry
unknown,nestle kenya ltd,36.8682343,-1.3026407,industrial,nairobi city,makadara,industry
likoni road,uniliver kenya ltd,36.8381751,-1.2942234,industrial,nairobi city,makadara,industry
unknown,scrap yard(metal waste),36.9277772,-1.1819836,industrial,nairobi city,kasarani,industry
unknown,unga group,36.80482163,-1.261030668,industrial,nairobi city,langata,industry
unknown,east african breweries limited (eabl),36.8822097,-1.237198743,industrial,nairobi city,langata,industry
unknown,jumia kenya warehousing,36.89395676,-1.3339283,industrial,nairobi city,langata,industry
unknown,factory street,36.8326862,-1.2948745,industrial,nairobi city,langata,industry
unknown,factory street,36.8370528,-1.2900647,industrial,nairobi city,langata,industry
unknown,nairobi bottlers limited,36.9196278,-1.3155496,industrial,nairobi city,langata,industry
unknown,de la rue kenya limited,36.8649246,-1.2482712,industrial,nairobi city,langata,industry
unknown,pz cussons east africa ltd.,36.8831567,-1.2426706,industrial,nairobi city,langata,industry
unknown,unknown,36.9068738,-1.3182167,industrial,nairobi city,langata,industry
unknown,siginon group,36.9044233,-1.3515122,industrial,nairobi city,langata,industry
unknown,saku industrial park,36.9042389,-1.3510657,industrial,nairobi city,langata,industry
unknown,unknown,36.8405195,-1.3033554,industrial,nairobi city,langata,industry
unknown,unknown,36.8707526,-1.3044588,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8599662,-1.3187604,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8710652,-1.3085059,industrial,nairobi city,embakasi,industry
unknown,unknown,36.861525,-1.3107454,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8729363,-1.3204063,industrial,nairobi city,embakasi,industry
unknown,bachu factory - rueben,36.8711759,-1.3224195,industrial,nairobi city,embakasi,industry
unknown,industry,36.8491217,-1.3116763,industrial,nairobi city,langata,industry
unknown,bhachu factory - rueben,36.8739135,-1.3178554,industrial,nairobi city,langata,industry
unknown,unknown,36.8697004,-1.3182205,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8676419,-1.326976,industrial,nairobi city,langata,industry
unknown,unknown,36.8714566,-1.335243,industrial,nairobi city,langata,industry
unknown,unknown,36.8607449,-1.3102789,industrial,nairobi city,westlands,industry
unknown,unknown,36.8642703,-1.3243707,industrial,nairobi city,makadara,industry
unknown,unknown,36.866079,-1.3203186,industrial,nairobi city,westlands,industry
unknown,robs magic springs industry,36.8582131,-1.3195625,industrial,nairobi city,makadara,industry
unknown,unknown,36.8562881,-1.3178769,industrial,nairobi city,starehe,industry
unknown,magnum industry,36.8557432,-1.3141795,industrial,nairobi city,kasarani,industry
muthithi rd,government buildings/administration,36.8538318,-1.311269,industrial,nairobi city,westlands,industry
thika rd,madu paper industry,36.8697719,-1.3101997,industrial,nairobi city,kasarani,industry
mombasa road,unknown,36.8676984,-1.3247015,industrial,nairobi city,embakasi,industry
mombasa road,unknown,36.8651847,-1.324592,industrial,nairobi city,langata,industry
unknown,unknown,36.8798925,-1.3384333,industrial,nairobi city,starehe,industry
unknown,unknown,36.8686784,-1.3322934,industrial,nairobi city,starehe,industry
unknown,unknown,36.8699181,-1.3315132,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8612807,-1.3270921,industrial,nairobi city,kasarani,industry
unknown,unknown,36.9128367,-1.1751594,industrial,nairobi city,kasarani,industry
unknown,unknown,36.9144631,-1.1872842,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8399824,-1.2227319,industrial,nairobi city,langata,industry
unknown,unknown,36.9757309,-1.2725962,industrial,nairobi city,langata,industry
unknown,unknown,36.9659784,-1.2900403,industrial,nairobi city,langata,industry
unknown,unknown,36.8952874,-1.3343166,industrial,nairobi city,langata,industry
unknown,unknown,36.9060294,-1.2243139,industrial,nairobi city,westlands,industry
unknown,east african breweries limited,36.8790551,-1.2358953,industrial,nairobi city,starehe,industry
unknown,opportnity factory,36.7056024,-1.348175,industrial,nairobi city,makadara,industry
unknown,unknown,36.9051137,-1.3194175,industrial,nairobi city,starehe,industry
landhies road,unknown,36.8381318,-1.3148862,industrial,nairobi city,starehe,industry
unknown,unknown,36.8422834,-1.3079731,industrial,nairobi city,embakasi,industry
unknown,unknown,36.9634028,-1.4373201,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8862601,-1.2508229,industrial,nairobi city,makadara,industry
unknown,unga limited,36.8362159,-1.2940028,industrial,nairobi city,makadara,industry
unknown,inland container depot,36.8802711,-1.3364263,industrial,nairobi city,makadara,industry
unknown,factory street,36.8370838,-1.2926473,industrial,nairobi city,embakasi,industry
unknown,factory street,36.8405693,-1.2917805,industrial,nairobi city,embakasi,industry
unknown,factory street,36.8406222,-1.2916345,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8188828,-1.2368146,industrial,nairobi city,embakasi,industry
unknown,unknown,36.9013672,-1.2597735,industrial,nairobi city,starehe,industry
unknown,kibera soweto east zone b (slum upgrading site 2),36.7980608,-1.3157641,industrial,nairobi city,starehe,industry
unknown,kibera soweto east zone b (slum upgrading site),36.8003273,-1.3157285,industrial,nairobi city,starehe,industry
unknown,agro manufacturing co. ltd,36.8573209,-1.3055088,industrial,nairobi city,starehe,industry
unknown,unknown,36.9445767,-1.2711544,industrial,nairobi city,starehe,industry
unknown,unknown,36.9758986,-1.2309142,industrial,nairobi city,starehe,industry
unknown,unknown,36.8935456,-1.3291836,industrial,nairobi city,starehe,industry
unknown,unknown,36.9045019,-1.3227037,industrial,nairobi city,starehe,industry
unknown,unknown,36.9158341,-1.3163111,industrial,nairobi city,embakasi,industry
unknown,unknown,36.9113535,-1.3677565,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8746059,-1.331262,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8744403,-1.330628,industrial,nairobi city,embakasi,industry
