@id,addr:street,amenity,name,lon,lat,operator,operator:type
node/1853948465,Waiyaki Way,college,Institute of Advanced Technology Symphony Place,36.8006748,-1.2639555,IAT,
node/2344361860,Thika Road,college,Maya Tech,36.873067,-1.2331736,,
node/2374989976,,college,MATHARE POLYTECHNIC,36.8638621,-1.261189,,county_government
node/2405823304,,college,Silver Bridge,36.8831152,-1.2466148,,
node/2405836190,,college,ACK computer college,36.8958871,-1.2419454,,
node/2405836193,,college,Abbey computer college,36.8939386,-1.2416283,,
node/3738823772,,college,Kenya Red Cross Training College,36.8337317,-1.3239577,,
node/3875751920,,university,U-Block,36.8256164,-1.2916903,Technical University of Kenya,public
node/4577396216,,college,Defence Staff College,36.6923945,-1.3196929,,
node/4629010320,,college,National Defence College,36.7003133,-1.3029746,,
node/5106250785,Thika Road,college,National Youth Service Headquarters,36.8550443,-1.2560563,,
node/5331626395,Manga Close,college,African Population and Health Research Centre - APHRC Campus,36.7614713,-1.2284888,,
node/5333222495,,college,Kibondeni College,36.7686679,-1.2660979,,
node/5339122379,,college,Lorento College Msongari,36.7690463,-1.2735657,,
node/5343403619,,college,The Institute of Professional Security Studies (IPSS),36.86057,-1.2162149,,
node/5414007488,Argwings Kodhek Road,college,IAT Hurlingham Campus,36.7911273,-1.2932447,,
node/5416191472,State House Avenue,college,Makini Junior Academy & College,36.8082998,-1.2878336,,
node/5536006826,Loita Street,college,Institute of Advanced Technology IAT Pension Towers Campus,36.8175721,-1.2834518,,
node/5552396274,Tom Mboya Street,college,Dima College,36.8251877,-1.2840287,,
node/5552457020,Moi Avenue,university,JKUAT CBD,36.8213899,-1.2820393,,
node/5552467921,Wabera Street,college,Orbit School of Management Studies,36.8215803,-1.2838126,,
node/5555073777,Muindi Mbingu Street,college,IAT Ecobank Towers,36.8211111,-1.2856761,,
node/5915968859,,college,Kiwan Computer College,36.7501517,-1.26516,,private
node/5922075126,,college,Flames Beauty College,36.7493538,-1.2650351,,private
node/5926218252,,college,Purple Hut College,36.7480471,-1.2663048,Purple Hut college,private
node/5926218257,,college,Lotus Computer College,36.7486089,-1.266383,Lotus computer college,private
node/5933714628,,college,Montessori Teachers Training College,36.782018,-1.2557577,,
node/5948174103,,college,St.Teresa College,36.7536175,-1.2677583,,private
node/5948220717,,college,Ebenezar Computer College,36.7503073,-1.2654909,,
node/5953317908,,college,Blessing Institute of Professional Studies,36.7486761,-1.2664112,,private
node/5953317912,,college,Ventures Hairdressing and Beauty College,36.7485851,-1.2653345,,private
node/6178983005,Riara Lane,college,Hekima University College Institute Of Peace Studies and International Relations,36.7712486,-1.2984074,,
node/6224915414,Kamiti Road,college,St Kizito Vocational Training Institute Roysambu Branch,36.8899834,-1.2189765,,
node/6249063508,Kasarani Mwiki Road,college,IAT Kasarani Campus,36.8967316,-1.2176044,,
node/6327540491,Garden Estate Road,college,Nairobi Pentecostal Bible College,36.8666417,-1.2241192,,
node/7937755859,,college,Project Elimu,36.7797417,-1.314475,,ngo
node/8157509322,,college,Wilma Training College,36.8501217,-1.2640167,,private
node/8184237914,,college,Mathare Vocational Training Center,36.86359,-1.2617267,,government
node/8371097978,,college,Smart Center Institute and Service,36.74038,-1.2865019,,private
node/8371108880,,college,Petanns College,36.739758,-1.285975,,private
node/8371126309,,college,Riruta Business College,36.7394397,-1.2860567,,private
node/8371364343,,college,Saki Hairdressing,36.7424983,-1.2835917,,private
node/8374465819,,college,Dykaan College,36.748735,-1.2873933,,private
node/8374493737,,college,Mukwamo Salon and School of Hairdressing,36.7460383,-1.2846467,,private
node/8539480701,,training,Cataoca EA,36.8270203,-1.2832558,,
node/9169593835,,college,Mathare Vocational Training Center,36.8638023,-1.2615767,,government
node/9387763017,,college,Africa Digital Media Institute,36.8198053,-1.2857371,ADMI,
node/10862058046,,university,jkuat,36.7596493,-1.266099,,
node/11801760320,,college,Mathare Vocational training Centre,36.8638678,-1.2611119,,public
node/11801760331,,college,Mathare Special Training Centre,36.8656506,-1.2618483,,public
node/11801760332,,college,Mathare vocational training center,36.8634252,-1.2617323,,public
node/12189720454,,university,Eastlands College Of Technology,36.8824353,-1.29807,,private
node/12723615103,,college,Kabete Technical Training Institute,36.7269025,-1.2611335,public,central_government_deb
node/12723615104,,college,Nairobi Technical Training Institute,36.8339217,-1.2731776,public,private
node/12723615105,,college,Pc Kinyanjui Technical Training Institute,36.7343314,-1.2958244,public,central_government_deb
node/12747769492,,college,Kenya Technical Teachers Training Institute,36.8151719,-1.2397533,public,central_government_deb
node/12747769493,,college,Kenya Education Staff Institute (Kesi),36.8227783,-1.2534527,public,central_government_deb
,Embakasi West Kwa maji ICT Hub,YEC,Ajira Youth Empowerment Center,36.89788,-1.26907,government,
,KICD Desai RD,YEC,Ajira Youth Empowerment Center,36.82935,-1.26735,government,
,Carlifonia ,YEC,Ajira Youth Empowerment Center,36.8345,-1.28177,government,
,Kenyatta uni main campus,YEC,Ajira Youth Empowerment Center,36.89919,-1.20978,government,
,Sixth Parklands Ave,YEC,Ajira Youth Empowerment Center,36.82135,-1.25081,government,
,UoN Starehe,YEC,Ajira Youth Training Center,36.81569,-1.27109,government,
,Kenya education management institute ,YEC,Ajira Youth Training Center,36.82496,-1.24912,government,
,Off Gongongo Rd,YEC,Ayiera Initiative Children and Youth Empowerment and Development Centre,36.89452,-1.23765,government,
,,YEC,Ajira Youth Empowerment Center,36.66889,-1.35175,government,
,,YEC,Ajira Youth Training Center,36.75472,-1.34386,government,
,Teleposta Towers ,YEC,Ajira Digital ,36.81728,-1.28,government,
,Tom Mboya Street,college,KIPS Technical College,36.82779,-1.28739,,
,United Nation Avenue,college,Kenya Technical Trainers College (KTTC),36.81493,-1.23951,,
,Wiulson airport,college,Kenya Aeronautical College,,,,
,,YEC,Kibera Soweto East Resource Centre,36.80034756,-1.312064875,,
